table_name,comment,Arabic comment,English comment
ACCOUNT,ÚÑÖ ÍÓÈ ÑÞã ÇáãÑßÒ,عرض حسب رقم المركز,View according to the center number
ACCOUNT_CURR,,,
ACCOUNT_GROUPING,ãÌãæÚÉ ÇáÍÓÇÈÇÊ,مجموعة الحسابات,Account group
ACCOUNT_REPORT_TYPE,ãÌãæÚÉ ÇáÍÓÇÈÇÊ,مجموعة الحسابات,Account group
ACCOUNT_TYPES,ÃäæÇÚ ÇáÍÓÇÈÇÊ,أنواع الحسابات,Types of accounts
ADDR_LST_DTL,Ïáíá ÇáÚäÇæíä,دليل العناوين,Address guide
ADJST_INOUT_QTY_TMP,,,
ALL_BRANCHES,ÇáÝÑæÚ ÇáãÑÊÈØÉ,الفروع المرتبطة,The associated branches
AMS_ADD_MTR_TRNS,,,
AMS_AST_ADD_MTR,ÌÏæá ÇáÚÏÇÏÇÊ ÇáÇÖÇÝíÉ,جدول العدادات الاضافية,Additional meters schedule
AMS_COD_DTL,ÌÏæá ÇáÊÝÕíáí áÑãæÒ ÇáÚÇãÉ,جدول التفصيلي لرموز العامة,The detailed schedule for public symbols
AMS_COD_MST,ÌÏæá ÇáÃÈ áÑãæÒ ÇáÚÇãÉ,جدول الأب لرموز العامة,Father schedule for public symbols
AMS_COD_PRV,ÕáÇÍíÇÊ ÇáÊÑãíÒÇÊ ÇáÚÇãÉ áÕíÇäÉ ÇáÃÕæá,صلاحيات الترميزات العامة لصيانة الأصول,Places of general symbols for asset maintenance
AMS_FUL_AST_CNSMPTN,ÌÏæá ãÚÏá ÅÓÊåáÇß ÇáæÞæÏ,جدول معدل إستهلاك الوقود,Fuel consumption schedule
AMS_FUL_COD_DTL,,,
AMS_FUL_MOVMNT,,,
AMS_FUL_REQ,ÌÏæá ØáÈ ÕÑÝ ÇáæÞæÏ,جدول طلب صرف الوقود,Request for fuel disbursement
AMS_FUL_TNK,ÌÏæá ÈíÇäÇÊ ÊÚÑíÝ ÎÒÇäÇÊ ÇáæÞæÏ,جدول بيانات تعريف خزانات الوقود,Double fuel tank definitions
AMS_FUL_TRNS,,,
AMS_MNT_AST_RCV,ÌÏæá ÇÓÊáÇã ÇáÇÕá ááÕíÇäÉ,جدول استلام الاصل للصيانة,The original maintenance schedule for maintenance
AMS_MNT_CHK_DTL,ÌÏæá ÝÍÕ ÇáÕíÇäÉ ÊÝÕíáí,جدول فحص الصيانة تفصيلي,Detailed maintenance schedule
AMS_MNT_CHK_MST,ÌÏæá ÝÍÕ ÇáÕíÇäÉ ÇáÑÆíÓí,جدول فحص الصيانة الرئيسي,Main maintenance examination schedule
AMS_MNT_CHK_PRT,ÌÏæá ÞØÚ ÛíÇÑ ÝÍÕ ÇáÕíÇäÉ,جدول قطع غيار فحص الصيانة,Maintenance checkpoint schedule
AMS_MNT_CNTRCT,,,
